AscensionNum	TaxoName	pValue	fdrCorrectedpVal	CohenEffectSize	foldChanges	Log2_FC	Mean0_tolerant	mean1_sensitive	sensitiveSample_1	sensitiveSample_2	sensitiveSample_3	sensitiveSample_4	sensitiveSample_5	sensitiveSample_6	sensitiveSample_7	sensitiveSample_8	sensitiveSample_9	sensitiveSample_10	sensitiveSample_11	sensitiveSample_12	sensitiveSample_13	sensitiveSample_14	sensitiveSample_15	sensitiveSample_16	sensitiveSample_17	sensitiveSample_18	sensitiveSample_19	sensitiveSample_20	sensitiveSample_21	sensitiveSample_22	sensitiveSample_23	sensitiveSample_24	sensitiveSample_25	sensitiveSample_26	sensitiveSample_27	sensitiveSample_28	sensitiveSample_29	sensitiveSample_30	sensitiveSample_31	sensitiveSample_32	sensitiveSample_33	sensitiveSample_34	sensitiveSample_35	sensitiveSample_36	sensitiveSample_37	sensitiveSample_38	tolerantSample_1	tolerantSample_2	tolerantSample_3	tolerantSample_4	tolerantSample_5	tolerantSample_6	tolerantSample_7	tolerantSample_8	tolerantSample_9	tolerantSample_10	tolerantSample_11	tolerantSample_12	tolerantSample_13	tolerantSample_14	tolerantSample_15	tolerantSample_16	tolerantSample_17	tolerantSample_18	tolerantSample_19	tolerantSample_20	tolerantSample_21	tolerantSample_22	tolerantSample_23	tolerantSample_24	tolerantSample_25	tolerantSample_26	tolerantSample_27	tolerantSample_28	tolerantSample_29	tolerantSample_30	tolerantSample_31	tolerantSample_32	tolerantSample_33	tolerantSample_34	tolerantSample_35	tolerantSample_36	tolerantSample_37	tolerantSample_38	tolerantSample_39	tolerantSample_40	tolerantSample_41	tolerantSample_42	tolerantSample_43	tolerantSample_44	tolerantSample_45	tolerantSample_46	tolerantSample_47	tolerantSample_48	tolerantSample_49	tolerantSample_50	tolerantSample_51	tolerantSample_52	tolerantSample_53	tolerantSample_54	tolerantSample_55	tolerantSample_56	tolerantSample_57	tolerantSample_58	tolerantSample_59	tolerantSample_60
ASN13	Actinomyces_sp_ICM47	0.509451086	0.695691472	0.046555343	0.760582116	-0.394824078	0.017072667	0.022446842	0.02761	0.01956	0.00092	0	0	0.02345	0	0.00964	0	0.0239	0	0	0	0.06472	0.21773	0.00181	0	0	0.04662	0	0	0	0	0	0	0	0	0	0	0	0	0.00168	0	0	0.38338	0.03196	0	0	0	0	0	0	0.00224	0.01296	0	0.00999	0	0.01704	0	0.052	0.02918	0	0	0.0022	0	0.00056	0	0.00056	0	0.13171	0	0.0115	0	0	0	0	0	0	0.01383	0	0	0	0.03716	0.01199	0	0	0.0319	0	0	0	0	0	0.01888	0.03087	0	0	0	0.00093	0.00822	0.00749	0	0	0.02597	0.05315	0.32575	0.12504	0.06287	0.00037
ASN14	Actinomyces_sp_S6_Spd3	0.688122688	0.844400414	0.101427305	2.285973466	1.192808658	0.006786333	0.002968684	0	0	0	0	0	0	0	0	0	0.01139	0	0	0	0.0199	0.00862	0	0	0	0	0	0	0	0	0	0	0	0.00423	0	0	0	0	0	0	0	0.06867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02229	0	0	0	0	0	0	0	0	0.03245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04642	0.08776	0	0	0	0	0	0	0	0	0.01841	0.0262	0.13596	0.02761	0.01008	0
ASN15	Actinomyces_sp_oral_taxon_180	0.732086175	0.853943075	0.102078684	0.185632184	-2.429481236	5.67E-05	0.000305263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN16	Actinomyces_sp_oral_taxon_181	0.309607479	0.579080656	0.024351165	1.189623788	0.250505401	0.010479333	0.008808947	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0717	0.00739	0	0	0	0.12485	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0.12992	0.00051	0	0	0	0	0	0	0	0	0	0.00033	0	0.00516	0	0	0.0245	0	0	0	0.00351	0	0.00325	0	0	0.01496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00522	0.001	0	0	0	0.03021	0.11958	0	0	0	0	0	0	0	0	0.06439	0.07054	0.24337	0.03776	0.00498	0
ASN17	Actinomyces_sp_oral_taxon_414	0.074069604	0.360531564	0.181261793	0	#NUM!	0	0.000192368	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0.00441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN18	Actinomyces_sp_oral_taxon_448	0.074069604	0.360531564	0.149897973	0	#NUM!	0	0.000279737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00913	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN19	Actinomyces_sp_oral_taxon_897	0.074069604	0.360531564	0.140167875	0	#NUM!	0	0.000907105	0	0	0	0	0	0	0	0	0	0.03196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN20	Actinomyces_viscosus	0.754598212	0.853943075	0.009508896	0.876012461	-0.190976703	2.47E-05	2.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0.00148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN21	Varibaculum_cambriense	0.208912382	0.477731007	0.130256512	0	#NUM!	0	0.000108684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN22	Aeriscardovia_aeriphila	0.063496656	0.360531564	0.12811511	1.339706666	0.421917151	0.1800185	0.134371579	0.16402	0.11756	0.09476	0.00434	0.11471	0.01589	0.01977	0.46444	0.10415	0.16518	0.04873	0.00272	0.0085	0.64116	0.11363	0.07534	0.00615	0.32641	0.29892	0.04087	0	0.07334	0.07366	0.00305	0.02366	0.10873	0.126	0.67567	0.13059	0.03941	0.03295	0.18396	0.06811	0.11275	0.0614	0.55641	0.00336	0.00582	0.25667	0.00973	0.03844	0.09361	0.03911	0.21657	0.00851	0.20749	0.30846	0.32316	0.04502	0.08961	0.07001	0.17445	0.02043	0.2168	0.41063	0.29945	0.22444	0.15609	0.17141	0.18773	0.01571	0	0.00802	0	0.0338	0.2072	0.04726	0.07993	0.38759	0.01229	0.09752	0.02603	0.41266	0.30009	0.37431	0.04779	0.15032	0.64069	0.10496	0.3179	0.14686	0.03964	0.09494	0.04817	0.10043	0	0.02614	0.11064	0.22335	0.31447	0.70652	0.27131	0.21085	0.19236	0.91152	0.23357	0.24354	0.09491
ASN23	Bifidobacterium_adolescentis	0.259113991	0.512452283	0.109324744	1.516524909	0.600769194	3.669181333	2.419466579	0	0	2.65834	0.09508	0	0.25895	0	11.19673	5.90864	4.02603	0.0933	0	0	0	0	0	0	12.03131	6.99656	1.94306	0.25565	0	0	0.12753	0.38502	0.00209	0	17.41112	3.33613	3.90373	1.35075	2.98646	1.12048	0	0	15.85277	0	0	0	0	0	0	1.96472	3.54333	1.70513	1.20748	19.3159	7.50437	3.06312	1.57047	4.19424	0	0	7.14715	0	0	10.09846	2.27846	0	0	0	0	0	0	0	0	0.92129	2.60307	5.87584	0.23562	4.73179	1.15388	2.42238	9.84601	10.01249	1.83322	3.94738	23.45292	5.7958	7.82036	3.15257	1.60865	3.41983	1.82693	0	0	0	0	3.49097	6.57263	0	0	0	0	36.63203	13.02314	4.56672	1.61253
ASN24	Bifidobacterium_angulatum	0.741769658	0.853943075	0.061071726	1.542926292	0.625669143	0.774389833	0.501896842	0	0	0	0	0	0	0	0	6.44063	0	0.04504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51798	0.50969	0	0	0	0	7.55874	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59589	2.17361	0	0	8.6606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.02743	1.05172	0.33742	1.25665	0	0	0	0	12.52407	9.836	0	0	0	0	0	0	0	0
ASN25	Bifidobacterium_animalis	0.328425205	0.589298441	0.079939901	32.16905594	5.007601693	0.065430167	0.002033947	0	0	0	0	0	0	0	0	0	0	0	0	0.03946	0	0	0	0	0	0	0	0	0	0	0	0	0.03783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN26	Bifidobacterium_bifidum	0.012022109	0.151779129	0.234315957	2.604938891	1.381249529	3.831558	1.470882105	5.26561	4.14535	0	0.13238	0	0	0	8.49185	0	5.60295	0	0	0	0	6.31695	2.96293	0.56991	0	0	2.81648	0.2807	0	0	0	0	0	0	6.32792	4.7026	0	0	4.58111	0.75637	0	0	2.94041	0	0	5.55755	0	0	1.36245	1.8507	5.24459	0	7.36218	9.34098	3.55035	0	2.7018	0	0	0	8.83862	8.35796	12.8368	2.76886	2.09616	8.17011	7.03226	0	0	0	0	1.67981	3.21396	1.28924	0.68423	28.20755	0.49133	0	0	6.40671	0.68527	11.50625	2.41432	2.08216	2.08198	0	0	1.51419	0.70979	0	0	0	0	0	0	19.01805	9.96244	27.70874	5.23977	2.97404	3.53806	2.27721	6.44413	1.92535	0.76753
ASN27	Bifidobacterium_breve	0.631037173	0.794202548	0.157067087	15.696844	3.972402616	0.009162	0.000583684	0	0.00523	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01078	0	0	0	0	0	0	0	0	0	0	0	0.00617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03038	0	0	0	0	0	0	0	0	0	0	0	0.0408	0	0	0	0	0	0	0	0	0	0	0	0	0.07235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22417	0	0.11163	0.07039	0	0	0	0
ASN28	Bifidobacterium_catenulatum	0.254867554	0.512452283	0.164467218	4.00546089	2.001968257	0.240633333	0.060076316	0	0	0	0	0	0.09166	0	0.56257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289	0.02807	0	0	0.76871	0.11511	0	0	0	0	0	0	0.68788	0	0	0	0.21794	0	0	0	0.44206	0	0	0.6691	0	0	0	1.90408	0.8332	0	2.32068	0	0	0	0	0	0	0.0353	0	0	0	0	0	0	0	1.02401	0	0	0	0	0	0.76189	0.02944	0	0	0	0	0.00895	0	0.19828	0.76875	0.41211	0	0	0	0.63552	4.17669	0	0	0	0	0	0	0	0
ASN29	Bifidobacterium_dentium	0.567623936	0.751869082	0.087487822	3.30817651	1.726036213	0.012027833	0.003635789	0	0	0	0	0	0	0	0	0	0.03963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.29769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00936	0.35698	0.05701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN30	Bifidobacterium_longum	0.06723215	0.360531564	0.045557572	1.164418029	0.219609082	3.679405	3.159866053	8.09429	1.06716	1.41121	0.18923	3.81666	0.4469	1.34353	7.44522	2.52816	3.82084	3.59316	0.48044	0.63788	47.97142	1.28306	0.43006	0.14257	1.16658	0.85018	0.80208	0.04457	0.71828	1.06105	0.1111	0.24718	3.7064	4.87143	5.15621	1.16573	0.54526	1.1426	3.38217	3.70939	3.97002	2.01599	0.23374	0.24489	0.22827	14.49144	0.19011	1.18154	1.72489	4.15866	4.41867	0.85872	3.66522	0.42406	3.34968	1.71892	3.34342	0.07823	5.75422	1.27118	4.69484	6.67615	10.97853	2.55201	4.08591	4.83766	8.32709	0.11925	0	1.22771	0.83374	0.58422	3.58521	1.35127	0.42625	3.24885	0.02168	1.18058	0.87525	6.70441	3.94022	0.70822	0.10177	0.87604	2.02951	3.62314	3.69724	2.72942	2.32276	0.01331	0.07389	3.43588	1.12695	2.37399	4.0598	2.66171	3.6341	12.85956	3.43404	16.13993	13.98449	13.64456	1.65021	9.6284	3.07559
ASN31	Bifidobacterium_pseudocatenulatum	0.662994733	0.819112759	0.020682996	0.927525567	-0.108541046	0.906329167	0.977147368	0	4.33477	0	0.02593	3.29148	0	0.31236	0	1.77451	2.18536	3.1401	0	0	0	0	1.12144	0.31037	0	0	0.37658	0.00493	1.48575	5.62699	0.01125	0.02784	3.68834	4.05676	0	0	0.21575	0.19242	0.61098	0.44264	2.42075	1.46811	0.00619	0	0	0	0	1.8436	3.14502	0	0.26081	0	1.54875	0	0	0.04215	1.62458	0.15131	1.90626	0	0.02683	8.04886	0	0.46907	1.85071	0	0	0	0	0.62038	0.11176	0.75542	4.9808	0	0	0.14917	0	0	0	2.42537	1.91175	0.00234	0	0	0	0.18736	0.26386	0.67741	0.11653	0.03899	0.05833	0.78684	0.40087	0	0	0.00945	0.04883	7.08407	6.92461	0	0	0.37927	0.17099	4.71637	0.64103
ASN32	Scardovia_wiggsiae	0.074069604	0.360531564	0.154201921	0	#NUM!	0	0.001140263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN33	Corynebacterium_argentoratense	0.208912382	0.477731007	0.130256512	0	#NUM!	0	1.61E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN34	Corynebacterium_durum	0.805949081	0.887202803	0.010637127	0.905092593	-0.143862705	0.000325833	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0.00298	0	0	0	0	0	0	0	0	0	0	0	0	0.00277	0	0	0	0	0	0	0	0.00705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00078	0	0	0	0	0	0	0	0	0	0.00895	0	0	0	0	0	0	0	0
ASN35	Lawsonella_clevelandensis	0.045463997	0.360531564	0.104076874	inf	#VALUE!	0.020531167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235	0	0	0.25505	0	0	0	0	0	0	0	0	0	0.01033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94538	0	0.01628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248	0	0
ASN36	Agrococcus_jejuensis	0.539068253	0.728373157	0.073048474	2.831460663	1.501546487	0.025518167	0.009012368	0	0	0	0	0.01525	0	0	0	0	0	0	0	0	0	0.00338	0	0	0	0	0	0	0	0.0136	0	0	0	0	0	0	0	0	0	0	0.31024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02112	0.89882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60739	0	0	0	0	0	0	0.00376	0	0	0	0	0
ASN37	Rothia_aeria	0.208912382	0.477731007	0.130256512	0	#NUM!	0	6.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN38	Rothia_dentocariosa	0.754598212	0.853943075	0.00310844	1.045859429	0.064688957	0.000131833	0.000126053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASN39	Rothia_mucilaginosa	0.232703263	0.512452283	0.050928933	1.746655297	0.80459492	0.010781	0.006172368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05788	0.09376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03732	0.04559	0	0	0	0	0	0	0	0.0081	0	0	0	0.00301	0.03418	0.00816	0.04566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04029	0.00157	0	0	0	0.0244	0	0.4292	0	0	0.02297	0.02216	0	0	0	0.00053	0	0	0	0.00663
ASN40	Cutibacterium_acnes	0.257950157	0.512452283	0.085923141	inf	#VALUE!	0.004795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2761	0.0116	0	0	0	0	0	0	0	0	0	0	0
